"Plot Title: TC5_Nest"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20128175, SEN S/N: 20128175)","Intensity, Lux (LGR S/N: 20128175, SEN S/N: 20128175)","Coupler Attached (LGR S/N: 20128175)","Host Connected (LGR S/N: 20128175)","Stopped (LGR S/N: 20128175)","End Of File (LGR S/N: 20128175)"
329,05/12/19 05:44:00 PM,24.158,0.0,,,,
330,05/12/19 05:44:30 PM,24.158,0.0,,,,
331,05/12/19 05:45:00 PM,24.158,0.0,,,,
332,05/12/19 05:45:30 PM,24.158,0.0,,,,
333,05/12/19 05:46:00 PM,24.158,0.0,,,,
334,05/12/19 05:46:30 PM,24.158,0.0,,,,
335,05/12/19 05:47:00 PM,24.158,0.0,,,,
336,05/12/19 05:47:30 PM,24.158,0.0,,,,
337,05/12/19 05:48:00 PM,24.158,0.0,,,,
338,05/12/19 05:48:30 PM,24.158,0.0,,,,
339,05/12/19 05:49:00 PM,24.158,0.0,,,,
340,05/12/19 05:49:30 PM,24.158,0.0,,,,
341,05/12/19 05:50:00 PM,24.158,0.0,,,,
342,05/12/19 05:50:30 PM,24.158,0.0,,,,
343,05/12/19 05:51:00 PM,24.158,0.0,,,,
344,05/12/19 05:51:30 PM,24.158,0.0,,,,
345,05/12/19 05:52:00 PM,24.158,0.0,,,,
346,05/12/19 05:52:30 PM,24.158,0.0,,,,
347,05/12/19 05:53:00 PM,24.158,0.0,,,,
348,05/12/19 05:53:30 PM,24.158,0.0,,,,
349,05/12/19 05:54:00 PM,24.158,0.0,,,,
350,05/12/19 05:54:30 PM,24.158,0.0,,,,
351,05/12/19 05:55:00 PM,24.158,0.0,,,,
352,05/12/19 05:55:30 PM,24.158,0.0,,,,
353,05/12/19 05:56:00 PM,24.158,0.0,,,,
354,05/12/19 05:56:30 PM,24.158,0.0,,,,
355,05/12/19 05:57:00 PM,24.158,0.0,,,,
356,05/12/19 05:57:30 PM,24.158,0.0,,,,
357,05/12/19 05:58:00 PM,24.158,0.0,,,,
358,05/12/19 05:58:30 PM,24.158,0.0,,,,
359,05/12/19 05:59:00 PM,24.158,0.0,,,,
360,05/12/19 05:59:30 PM,24.158,0.0,,,,
361,05/12/19 06:00:00 PM,24.158,0.0,,,,
362,05/12/19 06:00:30 PM,24.158,0.0,,,,
363,05/12/19 06:01:00 PM,24.158,0.0,,,,
364,05/12/19 06:01:30 PM,24.158,0.0,,,,
365,05/12/19 06:02:00 PM,24.158,0.0,,,,
366,05/12/19 06:02:30 PM,24.158,0.0,,,,
367,05/12/19 06:03:00 PM,24.158,0.0,,,,
368,05/12/19 06:03:30 PM,24.158,0.0,,,,
369,05/12/19 06:04:00 PM,24.158,0.0,,,,
370,05/12/19 06:04:30 PM,24.158,0.0,,,,
371,05/12/19 06:05:00 PM,24.158,0.0,,,,
372,05/12/19 06:05:30 PM,24.158,0.0,,,,
373,05/12/19 06:06:00 PM,24.158,0.0,,,,
374,05/12/19 06:06:30 PM,24.158,0.0,,,,
375,05/12/19 06:07:00 PM,24.158,0.0,,,,
376,05/12/19 06:07:30 PM,24.158,0.0,,,,
377,05/12/19 06:08:00 PM,24.158,0.0,,,,
378,05/12/19 06:08:30 PM,24.158,0.0,,,,
379,05/12/19 06:09:00 PM,24.158,0.0,,,,
380,05/12/19 06:09:30 PM,24.158,0.0,,,,
381,05/12/19 06:10:00 PM,24.158,0.0,,,,
382,05/12/19 06:10:30 PM,24.158,0.0,,,,
383,05/12/19 06:11:00 PM,24.158,0.0,,,,
384,05/12/19 06:11:30 PM,24.158,0.0,,,,
385,05/12/19 06:12:00 PM,24.158,0.0,,,,
386,05/12/19 06:12:30 PM,24.158,0.0,,,,
387,05/12/19 06:13:00 PM,24.158,0.0,,,,
